Country;Subject Descriptor;Units;Scale;2015;Estimates Start After
Afghanistan;Gross domestic product per capita, current prices;U.S. dollars;Units;599994;2013
Albania;Gross domestic product per capita, current prices;U.S. dollars;Units;3995383;2010
Algeria;Gross domestic product per capita, current prices;U.S. dollars;Units;4318135;2014
Angola;Gross domestic product per capita, current prices;U.S. dollars;Units;4100315;2014
Antigua and Barbuda;Gross domestic product per capita, current prices;U.S. dollars;Units;14414302;2011
Argentina;Gross domestic product per capita, current prices;U.S. dollars;Units;13588846;2013
Armenia;Gross domestic product per capita, current prices;U.S. dollars;Units;3534860;2014
Australia;Gross domestic product per capita, current prices;U.S. dollars;Units;50961865;2014
Austria;Gross domestic product per capita, current prices;U.S. dollars;Units;43724031;2015
Azerbaijan;Gross domestic product per capita, current prices;U.S. dollars;Units;5739433;2014
The Bahamas;Gross domestic product per capita, current prices;U.S. dollars;Units;23902805;2013
Bahrain;Gross domestic product per capita, current prices;U.S. dollars;Units;23509981;2014
Bangladesh;Gross domestic product per capita, current prices;U.S. dollars;Units;1286868;2013
Barbados;Gross domestic product per capita, current prices;U.S. dollars;Units;15773555;2010
Belarus;Gross domestic product per capita, current prices;U.S. dollars;Units;5749119;2013
Belgium;Gross domestic product per capita, current prices;U.S. dollars;Units;40106632;2014
Belize;Gross domestic product per capita, current prices;U.S. dollars;Units;4841735;2013
Benin;Gross domestic product per capita, current prices;U.S. dollars;Units;780063;2011
Bhutan;Gross domestic product per capita, current prices;U.S. dollars;Units;2843402;2011
Bolivia;Gross domestic product per capita, current prices;U.S. dollars;Units;2886231;2012
Bosnia and Herzegovina;Gross domestic product per capita, current prices;U.S. dollars;Units;4088212;2014
Botswana;Gross domestic product per capita, current prices;U.S. dollars;Units;6040957;2008
Brazil;Gross domestic product per capita, current prices;U.S. dollars;Units;8669998;2014
Brunei Darussalam;Gross domestic product per capita, current prices;U.S. dollars;Units;28236640;2013
Bulgaria;Gross domestic product per capita, current prices;U.S. dollars;Units;6831661;2014
Burkina Faso;Gross domestic product per capita, current prices;U.S. dollars;Units;614500;2012
Burundi;Gross domestic product per capita, current prices;U.S. dollars;Units;305783;0
Cabo Verde;Gross domestic product per capita, current prices;U.S. dollars;Units;3038511;2014
Cambodia;Gross domestic product per capita, current prices;U.S. dollars;Units;1168036;2012
Cameroon;Gross domestic product per capita, current prices;U.S. dollars;Units;1232423;2010
Canada;Gross domestic product per capita, current prices;U.S. dollars;Units;43331961;2015
Central African Republic;Gross domestic product per capita, current prices;U.S. dollars;Units;334870;2004
Chad;Gross domestic product per capita, current prices;U.S. dollars;Units;941903;2004
Chile;Gross domestic product per capita, current prices;U.S. dollars;Units;13340905;2014
China;Gross domestic product per capita, current prices;U.S. dollars;Units;7989720;2015
Colombia;Gross domestic product per capita, current prices;U.S. dollars;Units;6083510;2014
Comoros;Gross domestic product per capita, current prices;U.S. dollars;Units;736348;2003
Democratic Republic of the Congo;Gross domestic product per capita, current prices;U.S. dollars;Units;475916;1983
Republic of Congo;Gross domestic product per capita, current prices;U.S. dollars;Units;2032267;2004
Costa Rica;Gross domestic product per capita, current prices;U.S. dollars;Units;10936243;2011
Côte d'Ivoire;Gross domestic product per capita, current prices;U.S. dollars;Units;1314678;2012
Croatia;Gross domestic product per capita, current prices;U.S. dollars;Units;11572905;2013
Cyprus;Gross domestic product per capita, current prices;U.S. dollars;Units;22587490;2014
Czech Republic;Gross domestic product per capita, current prices;U.S. dollars;Units;17256918;2015
Denmark;Gross domestic product per capita, current prices;U.S. dollars;Units;52114165;2015
Djibouti;Gross domestic product per capita, current prices;U.S. dollars;Units;1788363;2009
Dominica;Gross domestic product per capita, current prices;U.S. dollars;Units;7030145;2011
